genre,definition
british singer-songwriter,
bury st edmunds indie,
lancashire indie,
newcastle indie,
derby indie,
uk post-hardcore,
britpop,Britpop music culture movement emphasised It produced catchier alternative partly reaction popularity darker lyrical themes grunge music shoegaze music The movement brought British alternative rock mainstream formed backbone larger British popular cultural Cool evoked Swinging Sixties British guitar pop focus bands emerged independent music scene early Although term viewed marketing cultural moment musical style associated bands typically drew British pop music glam rock punk rock indie pop successful bands linked Britpop Suede known Suede Pulp distanced The timespan Britpop generally considered peak years A chart battle Blur Oasis Battle brought movement forefront British press While music main art politics got Tony Blair New Labour aligning late Britpop acts began falter commercially break moved new genres Britpop lost teen artistically segued indie associated bands Travis
british soul,British Brit US British soul soul music performed British Soul major influence British popular music American soul extremely popular youth Northern soul In soul gained mainstream popularity UK disco clear genre British soul emerge number black white artists soul major influenced contemporary began enjoy commercial British soul artists began gaining popularity United States late leading talk British time soul invasion contrast rock new wave synthpop
scottish indie,
east anglia indie,
leeds indie,
essex indie,
british alternative rock,
edinburgh indie,
liverpool indie,
scottish indie rock,
uk contemporary r&b,
traditional english folk,
london indie,
uk alternative pop,
scottish electronic,
southampton indie,
oxford indie,
uk stoner rock,
northamptonshire indie,
scottish indie folk,
brighton indie,
cornwall indie,
london rap,
isle of wight indie,
birmingham hip hop,
british blues,British blues form music derived American blues originated late reached height mainstream popularity In developed distinctive influential style dominated electric guitar international stars proponents genre including Rolling Eric Fleetwood Mac Led
british orchestra,
dundee indie,
manchester hip hop,
sheffield indie,
madchester,Madchester musical cultural scene developed English city Manchester late closely associated indie dance referred saw artists merging indie music elements acid psychedelia The term Madchester coined Factory Tony label popularised British music press early famous groups include Stone Happy Inspiral James It widely seen heavily influenced especially At Haçienda members New major catalyst distinctive musical ethos city called Second Summer
manchester indie,
english indie rock,
swansea indie,
uk metalcore,
cardiff indie,
uk alternative hip hop,
leicester indie,
welsh indie,
uk post-punk revival,
british post-rock,
birmingham indie,
uk americana,
glasgow indie,
york indie,
yorkshire folk,
uk pop,
scottish rock,The geology Scotland unusually varied country large number differing geological There main geographical Highlands Islands diverse area lies north west Highland Boundary Central Lowlands rift valley mainly comprising Palaeozoic Southern lie south Southern Uplands largely composed Silurian existing bedrock includes ancient Archean metamorphic beds interspersed granite intrusions created Caledonian mountain building period Caledonian commercially important oil iron bearing carboniferous deposits remains substantial Palaeogene During tectonic movements created climatic conditions ranging polar desert tropical resultant diversity fossil role play significant discoveries plate tectonics development theories formation rocks home important figures development science including James Hutton modern Hugh Miller Archibald Various locations Siccar Point Berwickshire Moine Thrust north west important development geological
hull indie,
british comedy,Throughout British comedy known consistently peculiar produced renowned comedians characters
british country,Country called country genre popular music originated church music Southern gospel American folk music forms including cowboy Western music styles New Red Texas Its popularized roots originate Southern Southwestern United States early music consists ballads dance tunes commonly known Tonk generally simple folk harmonies accompanied string instruments electric acoustic steel guitars pedal steels fiddles Blues modes extensively recorded term country music gained popularity preference hillbilly came encompass Western evolved parallel hillbilly music similar In United country music listened rush hour radio genre evening second popular morning term country music today describe styles The origins country music found folk music working class Americans American It historical roots indigenous music North Celtic early music British Irish traditional singing French folk traditional folk music
nottingham indie,
cymraeg,Welsh y Gymraeg Celtic language Brittonic subgroup native Welsh Welsh spoken natively Y Wladfa Welsh colony Chubut known English Welsh Language Measure gave Welsh language official status making language de jure official United English de facto Both Welsh English languages de jure official languages Welsh population Wales aged older nearly quarters population Wales said Welsh language Estimates suggest people aged older Wales speak Welsh June The Welsh government plans increase number Welsh language speakers million Since number children attending schools number going Welsh bilingual schools Welsh vibrant Celtic language terms active Celtic language considered endangered
traditional british folk,
north east england indie,
welsh hip hop,
british indie rock,
traditional scottish folk,
uk dance,
reading indie,
uk pop punk,
grime,Grime genre electronic music emerged London early It developed earlier UK dance style UK draws influences hip The style typified syncopated generally beats features aggressive jagged electronic Emceeing significant element lyrics revolve gritty depictions urban style initially spread pirate radio stations underground scenes achieving mainstream recognition UK artists Dizzee Lethal In grime began receive popular attention The genre described significant musical development UK generally considered distinct hip hop roots primarily genres UK garage
portsmouth indie,
scottish metal,
uk noise rock,
warrington indie,
belfast indie,
uk tech house,
scouse rap,
medway sound,
cambridge choir,
britpop revival,Britpop music culture movement emphasised It produced catchier alternative partly reaction popularity darker lyrical themes grunge music shoegaze music The movement brought British alternative rock mainstream formed backbone larger British popular cultural Cool evoked Swinging Sixties British guitar pop focus bands emerged independent music scene early Although term viewed marketing cultural moment musical style associated bands typically drew British pop music glam rock punk rock indie pop successful bands linked Britpop Suede known Suede Pulp distanced The timespan Britpop generally considered peak years A chart battle Blur Oasis Battle brought movement forefront British press While music main art politics got Tony Blair New Labour aligning late Britpop acts began falter commercially break moved new genres Britpop lost teen artistically segued indie associated bands Travis
british black metal,
cambridgeshire indie,
uk drill,
welsh rock,
uk christian rap,
bristol indie,
british invasion,The British Invasion cultural phenomenon rock pop music acts United Kingdom aspects British culture popular United States significant rising sides Atlantic Pop rock groups Rolling Small Dave Clark Gerry Who solo singers like Dusty Cilla Petula Tom Jones forefront
nottingham hip hop,
uk melodic rap,
scottish folk,Scottish folk music Scottish traditional genre folk music uses forms identified Scottish musical There evidence flourishing culture popular music Scotland late Middle song melody survive period After secular popular tradition music despite attempts particularly suppress dancing events like penny The clear reference use Highland bagpipes mentions use Battle Pinkie Cleugh The Highlands early seventeenth century saw development piping families including MacGregors Mackays There evidence adoption fiddle musicians included fiddler Pattie Birnie piper Habbie This tradition continued nineteenth major figures fiddlers Niel son Nathaniel There evidence ballads Some date late Medieval era deal events people traced far thirteenth They remained oral tradition collected folk songs eighteenth earliest printed collection secular music comes seventeenth Collection began gain momentum early eighteenth century opposition music flood publications including Allan verse compendium The Tea Table Miscellany The Scots Musical Museum James Johnson Robert From late nineteenth century renewed interest traditional academic political In Scotland collectors included Reverend James Duncan Gavin Major performers included James Scott This revival began major impact classical development effect national school orchestral operatic music composers Alexander William Learmont Hamish MacCunn John World War traditional music Scotland remained living This changed individuals including Alan Hamish Henderson Peter recordings radio Acts popularised included John Jimmy Jeannie Robertson Flora In flourishing folk club culture Ewan MacColl emerged leading figure revival The clubs hosted traditional including Donald Higgins Stewarts English performers new Scottish revivalists Robin Jimmie The Corries Ian Campbell Folk There strand popular Scottish music benefited arrival radio relied images Scottishness derived tartanry stereotypes employed music hall exemplified TV programme The White Heather Club ran hosted Andy Stewart starring Moira Anderson Kenneth The fusing styles American music British folk created distinctive form fingerstyle guitar playing known folk pioneered figures including Davy Graham Bert Others totally abandoned traditional element including Donovan Incredible String seen developing psychedelic Acoustic groups continued interpret traditional material included Silly The Boys Natural Acoustic Battlefield The The rock developed variant British folk rock Scottish groups including JSD Band Hand combined Irish Scottish emerged successful exponents From late attendance number folk clubs began new musical social trends began Scotland circuit ceilidhs festivals helped prop traditional Two successful groups emerged dance band circuit Runrig A Celtic Diaspora existence large communities world looked cultural roots identity origins Celtic From United States includes Scottish bands Seven Prydein Flatfoot From Canada bands Enter Great Big The Real Mckenzies Spirit
uk worship,
uk house,
scottish drill,
uk post-punk,
bath indie,
afroswing,known commonly Afrobbean confused French genre music developed UK derivative dancehall influences hip genre afroswing artists making British
uk dancehall,
british folk,Throughout history British United Kingdom major music drawing inspiration Church folk instruments Northern Each countries United Kingdom diverse distinctive folk music flourished era industrialisation began replaced new forms popular including music hall brass Many British musicians influenced modern music global UK largest music Welsh folk music British styles music directly influenced American music American folk American march country The UK birthed popular music genres beat power psychedelic progressive rock progressive heavy new electropop influences music United including rock adopted United The Liverpool band regarded influential band British rock bands highly influential world Pop term originated Britain description roll new youth music styles developed British artists like Beatles Rolling British musicians led rock transition rock
uk hip hop,British hip known UK hip hop UK genre culture covers variety styles hip hop music United It generally classified number styles British hip hop referred term coined popularised mainly British Vogue magazine British hip hop originally influenced introduced United Kingdom Jamaican migrants eventually developed uniquely influenced rapping order match rhythm pace aggression dub Toasting soundsystem cultures influential genres outside hip hop included rapping UK The Times described British hip broad sonic encompassing Britain musicians informed inspired music response stimuli gave birth rap New York
welsh choir,The Music Wales Cerddoriaeth particularly significant Welsh national country traditionally referred land modern stereotype based century conceptions Nonconformist choral music century male voice Eisteddfodau arena sporting Wales history music primary form Wales associated folk choral religious music brass However modern Welsh music thriving scene Welsh language modern electronic Particularly noted UK Newport rock labelled new Cardiff music city recently labelled having second highest number independent music venues
welsh folk,Welsh folk music Cerddoriaeth werin refers music traditionally sung played Welsh people originating artists traditional bands Calan Ar harpists Sian Catrin Finch Nansi Richards folk singer Dafydd
uk dnb,
west yorkshire indie,
bristol electronic,
coventry indie,
kent indie,
devon indie,
scottish hip hop,Scottish hip hop regional manifestation British hip hop culture comprising elements graffiti
british classical piano,
grebo,Grebo grebo subgenre alternative rock incorporated influences punk electronic dance hip hop The scene occupied period late early United Kingdom popularisation Britpop The genre attributes largely absorbed industrial emerge demise late led development industrial metal
british jazz,British jazz form music derived American It reached Britain recordings performers visited country relatively new soon end World War Jazz began played British musicians widespread basis dance From late British highly influenced American Dixieland jazz began emerge led figures Kenny Chris John John Tony Crombie Ronnie Ken George Webb Humphrey Lyttelton emphasised New Trad From British jazz began develop individual characteristics absorb variety including British European World music A number British musicians gained international form music remained minority interest UK
scottish americana,
scottish singer-songwriter,
isle of man indie,
sophisti-pop,subgenre pop music developed new wave movement UK mid The term applied retrospectively describe acts blended elements pop lavish Music classified extensive use electronic synthesizers polished Artists utilized studio technology perfectionist recording The genre described Magazine suggested acts influenced work Roxy Music cited Bryan Bête Noire Boys Sweetwater named major artists genre including Blue Prefab Style Scritti Everything Danny AllMusic added Simply Swing Out Writer Iain Munn added list Level Blow Joe album Body
uk post-metal,
instrumental grime,
birmingham metal,
uk doom metal,
channel islands indie,
scottish techno,
cornish folk,
british children's music,
british soundtrack,
british industrial,
british math rock,
chill drill,
british experimental,
jungle,Jungle genre dance music developed UK rave scene sound system culture Emerging breakbeat style characterised rapid heavily syncopated percussive synthesised combined deep vocal samples found reggae hip hop Many producers frequently sampled breakbeats funk jazz Jungle direct precursor drum bass genre emerged
british death metal,
british grindcore,
birmingham grime,
uk diy punk,
uk reggae,
british power metal,
edinburgh metal,
scottish gaelic folk,
cathedral choir,
dub punk,
west end,
uk beatdown,
british choir,
oxford choir,
scottish jazz,
solo wave,
british contemporary classical,
melodic drill,
uk garage,UK abbreviated genre electronic dance music originated England early The genre clearly inspired garage incorporates elements It defined shuffled rhythms syncopated include house kick patterns irregular Garage tracks commonly feature vocal samples complementing underlying rhythmic structure tempo usually garage encompassed subgenres speed garage largely subsumed styles music production including The decline UK garage saw birth UK closely
ukhc,
scottish new wave,
uk experimental electronic,
aberdeen indie,
brit funk,Brit funk musical style origins British music scene late remained popular It mixes elements urban dance rhythms pop The scene originated southern England spread support DJs including DJ Greg Robbie Chris Hill Colin Major funk acts included Jimmy James Average White Ian Dury Carl Hot Light Level Central Beggar Co Soul II The genre influenced new groups Culture Bow Wow Dexys Midnight Runners Haircut
uk rockabilly,
british modern classical,
skiffle,Skiffle genre folk music influences American folk generally performed mixture manufactured homemade improvised Originating form United States half extremely popular United Kingdom played artists Lonnie The Vipers Skiffle Ken Chas Skiffle major early careers musicians later prominent rock The Beatles Rory Gallagher It seen critical stepping stone second British folk British blues British Invasion American popular
english renaissance,The English Renaissance cultural artistic movement England early century early It associated Renaissance usually regarded beginning Italy late As rest northern England saw little developments century Renaissance style slow penetrate Elizabethan era second half century usually regarded height English scholars beginnings early reign Henry English Renaissance different Italian Renaissance The dominant art forms English Renaissance literature Visual arts English Renaissance significant Italian The English period began far later moving Mannerism Baroque
old school uk hip hop,
northern irish indie,
orkney and shetland folk,
northern irish punk,
derry indie,
nwobhm,The new wave British heavy metal abbreviated nationwide musical movement started England achieved international attention early Journalist Geoff Barton coined term May issue British music newspaper Sounds describe emergence new heavy metal bands mid late period punk decline dominance new wave encompassing diverse mainstream underground music NWOBHM best remembered drawing heavy metal infusing intensity punk rock produce fast aggressive The DIY attitude new metal bands led spread recordings proliferation independent record Song lyrics usually escapist horror rock NWOBHM began underground phenomenon growing parallel punk largely ignored It promotion rock DJ Neal Kay campaigning reached public consciousness gained radio recognition success The movement involved male musicians suffered hardships brought rising unemployment years As reaction bleak created community separate mainstream society enjoy company favourite loud The NWOBHM heavily criticised excessive hype generated local media favour talentless generated renewal genre heavy metal music furthered progress heavy metal updated behavioural visual codes quickly adopted metal fans worldwide spread music continental North America movement spawned thousand heavy metal survived advent MTV rise commercial glam metal second half Among Iron Maiden Def Leppard international Motörhead Saxon considerable Other Diamond Venom remained major influence successful extreme metal subgenres late Many bands NWOBHM reunited remained active live performances new studio
anglican liturgy,The Book Common Prayer given number related prayer books Anglican Communion Christian churches historically related The original published reign King Edward VI product English Reformation following break The work prayer book include complete forms service daily Sunday worship It contained Morning Evening Holy Communion occasional services orders said funeral It set parts service varied week week daily epistle gospel readings Sunday service Holy Old Testament New Testament readings daily prayer specified tabular format Psalms provided said sung book soon succeeded Reformed revision editorial Thomas Archbishop It Edward death Mary I restored Roman Catholic Mary died Elizabeth I reintroduced book modifications acceptable traditionally minded worshippers James I ordered significant addition Catechism section Following tumultuous events surrounding English Civil Prayer Book modest revision published That edition remains official prayer book Church later twentieth alternative forms technically supplements largely displaced Book Common Prayer main Sunday worship English parish permutations Book Common Prayer local variations churches exterior Anglican Communion countries different In prayer book remains authoritative books patterns replaced regular Methodist Presbyterian prayer books borrowed Book Common marriage burial rites found way denominations English Like King James Version Bible works words phrases Book Common Prayer entered common
bagpipe marching band,
english baroque,
gospel drill,
uk82,
ukg revival,
neo-singer-songwriter,
belfast metal,
welsh metal,
jump up,Jump Up refer
new wave,New wave loosely defined music genre encompasses styles late It originally styles music emerged punk including punk critical consensus favored umbrella term involving popular music styles including power ska specific forms punk rock It viewed accessible counterpart characteristics new wave music include humorous quirky pop use electronic distinctive visual style music videos In early virtually new act particularly employed synthesizers tagged Although new wave shares artists influenced styles lighter strains pop opposed generally political bents punk considered creatively stagnant wave commercially peaked late early numerous major artists abundance launched heavily promoted boosting In new wave declined emergence New New New Music Since new wave resurged times growing nostalgia
bothy ballad,Bothy ballads songs sung farm labourers northeast region farm unmarried labourers harsh In entertain bothy bands Several Child Ballads died UK survived sung It environment songs They celebrated ploughmen lovers Plooman Darling Ploughman
scottish fiddle,Scottish fiddling distinguished folk fiddling styles particular precision execution energy rendering rhythmic commonly Christine Traditional Scottish Fiddling players discusses techniques Scottish These techniques contrast sharply common bowing patterns Irish The style large repertoire consisting great variation rhythms key There strong link playing traditional Scottish bagpipes better known
bassline,A bassline known bass line bass term styles dub classical music instrumental line played jazz forms popular rhythm section instrument electric double tuba keyboard Hammond electric unaccompanied solo basslines simply played lower register instrument melody accompaniment provided middle upper In solo music piano pipe instruments excellent lower register play deep On bass line typically played pedal keyboard massive bass
northumbrian folk,
big beat,Big beat electronic music genre usually uses heavy breakbeats loops patterns common acid The term British music industry describe music artists Chemical Fatboy Crystal Basement Jaxx Groove beat achieved mainstream success achieved critical commercial peak releases The Chemical Dig Your Own Fat Fatboy Come Long quickly declining
new romantic,The New Romantic movement underground subculture movement originated United Kingdom late The movement emerged nightclub scene London Birmingham venues The The New Romantic movement characterised eccentric fashion inspired fashion boutiques Kahn Bell Birmingham PX Early adherents movement referred press names Blitz New Dandies Romantic David Marc Bolan Roxy New Romantics developed fashions inspired glam rock era coupled early Romantic period late early century movement took The term known coined manager innovator Richard James He stated fit Blitz scene Spandau groups tried distance fashion British music acts late early adopted style known epitomise including Steve Strange Duran Spandau A Flock Classix Nouveaux Boy George Culture Ultravox identified New Romantics exhibit visual styles despite link band Japan Adam Ants labelled New Romantic artists repudiated direct connection original A number bands adopted synthesizers helped develop early combined distinctive New Romantic helped national success play major Second British Invasion end original movement largely Although artists associated scene continued enormous commercial success largely abandoned aesthetics There attempts revive movement including Romo
puirt-a-beul,
classic uk pop,
uk funky,UK funky known UKF genre electronic dance music born United Kingdom heavily influenced soulful tribal UK broken beat UK funky blends bass loops synths African Latin percussion dembow rhythm contemporary
drum and bass,Drum bass written drum bass commonly abbreviated genre electronic dance music characterized fast breakbeats beats heavy bass The genre grew jungle scene early popularity drum bass commercial peak ran parallel UK dance A major influence original Jamaican dub reggae sound influenced Another feature style complex syncopation drum Drum bass subgenres include ragga ambient drum liquid funk liquid drum jump drill Drum bass influenced genres like hip big trip ambient rock bass dominated relatively small group record Major international music labels shown little interest drum bass scene BMG Rights Management acquired RAM February Since genre seen significant growth Whilst origin drum bass music genre evolved considerably prominent fanbases located
british electroacoustic,
uk bass,
hard house,UK hard house simply hard house style electronic dance music emerged early synonymous association Trade club associated DJs created It features speedy tempo BPM hard house ranges BPM offbeat bass hoovers It usually contains break middle track drums UK hard house uses long sharp string note create Most drops introduced drum
merseybeat,Beat British Merseybeat British popular music genre rock roll influenced American rock roll Crickets British skiffle likes Lonnie traditional pop developed Liverpool late took early spreading rest UK expanding United States British The beat style significant impact popular music youth movements garage folk rock psychedelic music punk rock
british dance band,British dance band genre popular jazz dance music developed British dance halls hotel ballrooms called Golden Age British prior Second World miles away origins jazz United British dance bands era typically played music jazz big band influences maintained peculiarly British sense rhythm style came music hall Often comedians day music hall personalities sing novelty recordings backed British dance band Some British dance band leaders musicians went fame United States swing continuing ballroom dancing tradition recording copyright British dance music era attracts modest American dance music period
victorian britain,
indie anthem-folk,
synthpop,synthesizer called subgenre new wave music prominent late features synthesizer dominant musical It prefigured early use synthesizers progressive art particularly Krautrock bands like It arose distinct genre Japan United Kingdom era new wave movement late musical synthesizers practically recording studio available saw rise electronic art After breakthrough Gary Numan UK Singles Chart large numbers artists began enjoy success sound early In Yellow Magic Orchestra introduced rhythm machine popular band major influence early British The development inexpensive polyphonic definition MIDI use dance led commercial accessible sound adoption acts New Romantic rise led success large numbers British acts US Second British term coined Yuzuru Agi critique The considered case multiple discovery term interchangeably generally scene Japan preferred term interchangeably denote variant places emphasis electronic In mid late duos Erasure Pet Shop Boys adopted style highly successful US dance end bands Alphaville giving way house music Interest new wave began revive indietronica electroclash movements late enjoyed widespread revival commercial genre received criticism alleged lack emotion prominent artists spoken detractors believed synthesizers composed played music established place synthesizer major element pop rock directly influencing subsequent genres house music Detroit indirectly influenced individual
classic dubstep,
classic bhangra,
future garage,Future garage genre electronic music incorporates variety influences UK garage softer elements leading rhythmic Characteristic sounds pitched vocal warm filtered reese dark atmospheres synth field recordings atmospheric vinyl The tempo usually ranges slower
chamber psych,
c86,cassette compilation released British music magazine NME featuring new bands licensed British independent record labels As quickly evolved shorthand music genre characterized jangling guitars melodic power pop song musical styles represented In pejorative term associations John description celebrating primitive approach The scene recognized pivotal moment independent music recognized subtitle CD Tracks Birth Indie saw original compilation reissued expanded edition Cherry Red came book sleevenotes original NME journalist Neil play labelling length blank compact commonly combined
deep groove house,
deep neofolk,
canterbury scene,The Canterbury scene Canterbury musical scene centred city England late early Associated progressive term describes improvisational style blended elements musicians played numerous overlapping creating similarities musical Many prominent British fusion musicians began career Canterbury including Hugh Steve Dave Stewart Robert Kevin Daevid Mike
euro hi-nrg,
military band,A military band group personnel performs musical duties military usually armed A typical military band consists wind percussion The conductor band commonly bears title Bandmaster Director Ottoman military bands thought oldest variety military marching bands dating military band capable playing ceremonial marching including national anthems patriotic songs nation stationary marching Military bands play military funeral types historical traditions military The military field This type music includes bugles natural instruments natural trumpets natural fifes This type music control troops battlefield Following development instruments keyed trumpet saxhorn family brass second tradition brass woodwind military band A mounted serves cavalry artillery police forces police bands provide similar function military These bands scored military woodwind noted term applies civilian bands scored military It older term type bands changed names wind In BBC maintained Wireless Military Band The International Military Music Society published transcribed recordings label
uk contemporary jazz,
bagpipe,Bagpipes woodwind instrument enclosed reeds fed constant reservoir air form The Scottish Great Highland bagpipes best known examples Anglophone people played bagpipes centuries large parts Northern Western Persian Gulf northern parts South term bagpipe equally correct singular pipers usually refer bagpipes set stand
football,Football family team sports varying kicking ball score word football normally means form football popular word Sports commonly called football include association football soccer North America gridiron football American football Canadian Australian rules rugby union rugby Gaelic These forms football share varying extent common origins known number references prehistoric ball games played different parts Contemporary codes football traced codification games English public schools The expansion cultural influence British Empire allowed rules football spread areas British influence outside directly controlled By end distinct regional codes Gaelic deliberately incorporated rules local traditional football games order maintain In The Football League founded professional football During kinds football grew popular team sports
art rock,Art rock subgenre rock music generally reflects challenging approach makes use unconventional Art rock aspires elevate rock entertainment artistic opting experimental conceptual outlook Influences drawn genres experimental classical music created intention listening contemplation distinguished use electronic effects easy listening textures far removed propulsive rhythms early The term interchangeably instead characterized particular employment classically trained instrumental technique symphonic greatest level popularity early British The theatrical nature performances associated able appeal artistically inclined adolescents younger especially virtuosity Art rock associated certain period rock beginning ending arrival punk rock genre infused later popular music genres
pub rock,Pub rock refer rock style Australian rock roll popular rock rock music genre developed United Kingdom
